state,STATEFP,CDFP,GEOID,NAMELSAD,LSAD,CDSESSN,area,perimeter,convex_hull,polsby_popper,reock,schwartzberg
IL,17,ZZ,17ZZ,Congressional Districts not defined,00,115,0.4435086519883953,3.0918337825971776,0.9723312893990862,0.583014940463014,0.5976062041254301,0.7635541503148379
CA,06,50,0650,Congressional District 50,C2,115,0.7016569397487729,6.328450774269765,0.8054301323814987,0.22016074004383465,0.47819947521035566,0.4692128941576891
CA,06,23,0623,Congressional District 23,C2,115,2.560402750890262,12.868568737701326,0.7202796140077353,0.19429322444730257,0.5193828635822152,0.440787051133881
CA,06,08,0608,Congressional District 8,C2,115,8.52131837049501,19.779544244351488,0.8125295501917201,0.2737058593529741,0.21886179796636362,0.5231690542768886
IL,17,17,1717,Congressional District 17,C2,115,1.9697343732170793,11.484257620837218,0.5377387411496412,0.1876772690345076,0.342521993099733,0.43321734618376906
IL,17,06,1706,Congressional District 6,C2,115,0.10964159367949833,3.584887573923963,0.5726703699844997,0.10720971044144276,0.3345872172094252,0.3274289395295455
IL,17,03,1703,Congressional District 3,C2,115,0.06778625388983528,2.3282367682942997,0.6670223655660336,0.15714378555478722,0.2488212347779098,0.39641365460184036
IL,17,10,1710,Congressional District 10,C2,115,0.08829431968752033,2.5557648076925434,0.6298189069245304,0.16986380854760588,0.3763922968623377,0.41214537307557614
IL,17,04,1704,Congressional District 4,C2,115,0.01482909612172989,1.922554104766597,0.4194576528622102,0.0504158859132691,0.22460959907946007,0.22453482115981274
GA,13,03,1303,Congressional District 3,C2,115,0.981040862878217,6.590072577098578,0.7872103787012429,0.2838680838134864,0.5591888770747059,0.5327927212467212
GA,13,10,1310,Congressional District 10,C2,115,1.8269194119595795,9.220637498301887,0.8069500884164029,0.27002710330218693,0.5443556097187504,0.5196413217808866
GA,13,04,1304,Congressional District 4,C2,115,0.12731968509592662,2.4691661487391876,0.8035725048103074,0.26242474939782445,0.5055686006126773,0.5122740959660409
GA,13,05,1305,Congressional District 5,C2,115,0.06723592016123803,1.5289228463213889,0.8563604449395421,0.36144321476095914,0.49070414784191313,0.6012014760136232
GA,13,13,1313,Congressional District 13,C2,115,0.18225884795901948,3.790956072388509,0.61082150322557,0.15936794796969098,0.32863160568268523,0.39920915316371564
GA,13,09,1309,Congressional District 9,C2,115,1.3654325907816656,7.767467638776056,0.8448667995639803,0.2843945198613292,0.32817175667718845,0.5332865269827556
CA,06,51,0651,Congressional District 51,C2,115,1.2812846120605172,8.53861930850358,0.7412134560845011,0.22084123756018822,0.21158113308946785,0.4699374826082595
